setting,num_episodes,train_time,validity,proximity_cont,proximity_cat,sparsity,manifold,causality,time,air
01_0.99_256_0.0001_0.2,10000,0,73.541,0.513,0.956,2.0,3.574,56.085,41.66,0.12
01_0.99_256_0.0001_0.2,10000,0,67.704,0.148,0.952,1.0,1.815,100.0,35.08,0.11
01_0.99_256_0.0001_0.2,10000,0,73.541,0.513,0.956,2.0,3.574,56.085,42.41,0.12
01_0.99_256_0.0001_0.2,10000,0,73.541,0.513,0.956,2.0,3.574,56.085,41.15,0.12
01_0.99_256_0.0001_0.2,10000,0,73.541,0.513,0.956,2.0,3.574,56.085,40.9,0.12
01_0.99_256_0.0001_0.2,1000,0,26.459,0.144,0.945,1.0,1.628,100.0,34.89,0.11
01_0.99_256_0.0001_0.2,10000,0,79.767,0.21,0.955,1.0,2.139,99.024,33.98,0.16
01_0.99_256_0.0001_0.2,10000,0,72.763,0.111,0.95,1.0,1.58,98.93,36.58,0.13
01_0.99_256_0.0001_0.2,4000,0,14.008,0.073,0.047,1.0,0.963,100.0,31.57,0.08
01_0.99_256_0.0001_0.2,4000,0,14.008,0.073,0.047,1.0,0.963,100.0,34.2,0.15
01_0.99_256_0.0001_0.2,10000,0,61.479,0.0,0.086,1.0,0.846,100.0,26.06,0.1
01_0.99_256_0.0001_0.2,10000,0,73.541,0.421,0.956,1.0,3.138,100.0,29.16,0.06
01_0.99_256_0.0001_0.2,10000,0,73.541,0.522,0.956,2.0,3.618,56.085,43.96,0.1
01_0.99_256_0.0001_0.2,10000,0,79.767,0.218,0.959,1.0,2.205,99.024,38.17,0.08
01_0.99_256_0.0001_0.2,3000,0,31.518,0.376,0.954,3.0,2.715,46.914,40.06,0.17
01_0.99_256_0.0001_0.2,3000,0,31.518,0.369,0.954,3.0,2.661,46.914,41.71,0.13
01_0.99_256_0.0001_0.2,2000,0,32.685,0.361,0.934,4.0,2.576,48.81,39.29,0.12
01_0.99_256_0.0001_0.2,2000,0,12.84,0.17,0.0,1.0,0.792,100.0,36.1,0.18
01_0.99_256_0.0001_0.2,2000,0,12.84,0.16,0.0,1.0,0.745,100.0,34.09,0.48
01_0.99_256_0.0001_0.2,2000,0,28.5,0.23,0.968,1.0,2.209,31.579,36.91,0.15
01_0.99_256_0.0001_0.2,2000,0,42.0,0.269,0.954,1.0,2.308,36.905,42.42,0.13
01_0.99_256_0.0001_0.2,2000,0,42.0,0.261,0.954,1.0,2.258,36.905,40.58,0.2
01_0.99_256_0.0001_0.2,10000,0,65.5,0.21,0.957,1.0,2.1,37.405,33.0,0.16
01_0.99_256_0.0001_0.2,10000,0,65.5,0.21,0.957,1.0,2.1,37.405,36.1,0.18
01_0.99_256_0.0001_0.2,10000,0,72.5,0.514,0.961,1.0,3.525,55.862,35.78,0.13
01_0.99_256_0.0001_0.2,10000,0,72.5,0.514,0.961,1.0,3.525,55.862,37.85,0.14
01_0.99_256_0.0001_0.2,10000,0,72.5,0.514,0.961,1.0,3.525,55.862,34.23,0.14
01_0.99_256_0.0001_0.2,5000,0,70.5,0.497,0.96,1.0,3.418,53.901,32.87,0.13
01_0.99_256_0.0001_0.2,10000,0,72.5,0.517,0.961,1.0,3.535,55.862,38.82,0.13
01_0.99_256_0.0001_0.2,10000,0,73.541,0.516,0.956,2.0,3.587,56.085,42.17,0.12
01_0.99_256_0.0001_0.2,10000,0,73.541,0.516,0.956,2.0,3.587,56.085,42.81,0.12
01_0.99_256_0.0001_0.2,10000,0,73.541,0.516,0.956,2.0,3.587,56.085,43.32,0.15
01_0.99_256_0.0001_0.2,10000,0,73.541,0.516,0.956,2.0,3.587,56.085,46.11,0.12
01_0.99_256_0.0001_0.2,5000,0,30.35,0.354,0.939,2.0,2.561,47.436,43.25,0.15
01_0.99_256_0.0001_0.2,4000,0,12.062,0.168,0.0,1.0,0.785,100.0,31.56,0.42
01_0.99_256_0.0001_0.2,0,1.11,8.56,0.033,0.07,1.0,0.855,100.0,28.99,0.15
01_0.99_256_0.0001_0.2,0,0,8.56,0.033,0.07,1.0,0.855,100.0,30.92,0.15
01_0.99_256_0.0001_0.2,3000,0,54.475,0.553,0.958,1.0,3.512,51.429,51.74,0.15
01_0.99_256_0.0001_0.2,1000,0,49.416,0.588,0.955,1.0,3.601,58.268,53.59,0.18
01_0.99_256_0.0001_0.2,3000,0,31.907,0.409,0.954,1.0,2.888,48.78,50.25,0.15
01_0.99_256_0.0001_0.2,3000,0,31.907,0.409,0.954,1.0,2.888,48.78,46.33,0.16
01_0.99_256_0.0001_0.2,3000,0,31.907,0.405,0.955,1.0,2.832,47.561,45.56,0.15
01_0.99_256_0.0001_0.2,3000,0,31.907,0.413,0.954,1.0,2.921,48.78,46.16,0.14
01_0.99_256_0.0001_0.2,3000,0,35.409,0.166,0.959,1.0,1.785,100.0,43.51,0.07
01_0.99_256_0.0001_0.2,3000,0,35.798,0.166,0.96,1.0,1.755,100.0,42.85,0.11
