# {"t_start": 1702366737.8647463, "env_id": "german-nr-v01"} 
r,l,t
-53.592459,89,311.284996
-159.306929,105,311.748501
-217.405277,125,312.179776
-90.326809,73,312.466454
-30.122404,98,312.912585
-13.489091,77,313.156393
-46.489637,63,313.35475
-106.150271,92,313.781756
-93.032262,111,314.123134
-106.161418,69,314.330687
-87.41974,64,314.681004
-400.188041,216,315.325747
-39.956024,71,315.735852
-65.546303,91,316.018824
-271.021633,116,316.54054
-55.910052,86,316.813289
-207.997123,112,317.145855
-115.165483,67,317.500975
-18.347972,62,317.710573
-54.959135,78,317.949299
22.746989,53,318.144758
-138.526338,94,318.60694
-22.807309,79,318.872701
-196.371674,133,319.424987
-121.103337,109,319.774459
-205.623733,137,320.229754
-22.826494,78,320.62615
-38.272034,66,320.83519
-133.402165,93,321.129991
-25.903997,58,321.454562
-48.40723,66,321.684093
-74.263703,56,321.857962
-98.146284,70,322.099619
-16.893936,63,322.460662
-25.877389,58,322.640255
-125.171069,97,322.966078
34.078179,52,323.150315
-240.436471,132,323.745279
-86.128557,86,324.021331
74.969312,40,324.155027
-71.969703,91,324.609524
-47.672914,60,324.814405
-68.272186,68,325.05023
-159.90701,113,325.624213
-197.46679,134,326.065441
-37.365436,68,326.455166
-549.069636,230,327.250594
-148.046,98,327.712731
-113.576221,105,328.06828
-27.473411,58,328.337547
-18.641096,63,328.707142
-37.094466,89,329.000628
-79.53011,90,329.43595
-86.065085,63,329.826906
-43.751633,74,330.090177
4.28855,51,330.298151
-129.916576,85,330.56501
-48.972276,72,330.967205
-27.937762,64,331.193898
24.32441,73,331.43808
-20.29614,66,331.804725
-33.909368,76,332.060218
-25.031136,53,332.239759
-99.527325,75,332.481928
-122.432451,126,333.100672
-46.747174,58,333.290629
-58.227416,68,333.520778
-100.645119,82,333.952813
-116.081618,93,334.2854
-104.652645,100,334.689983
-106.280249,102,335.156672
-20.067241,66,335.372141
-50.380386,70,335.600479
-375.278023,164,336.318321
-240.976159,105,336.669722
-178.92803,112,337.173641
-73.011061,77,337.445131
-6.005938,52,337.650238
-31.360211,78,338.038157
-21.921186,76,338.310093
-43.167332,76,338.571078
15.529943,44,338.724178
34.510212,44,339.055037
-174.963744,101,339.383251
-74.233595,64,339.617681
-78.451107,74,339.858163
-49.888991,64,340.266833
-50.279468,73,340.512522
-116.356685,87,340.789659
-253.011202,116,341.308904
-76.121591,92,341.656384
-27.969774,62,341.870129
-96.919635,75,342.274731
25.672924,56,342.459838
-73.922192,85,342.745575
-139.453383,75,343.171324
-14.579503,47,343.346022
-24.883883,79,343.604996
-117.230475,94,343.92616
-57.236537,73,344.35263
-15.996122,55,344.527725
-27.114995,65,344.735867
33.350789,53,344.928866
-215.343282,100,345.418716
-29.514578,75,345.678323
15.212349,50,345.868161
1.210803,64,346.087069
43.339361,50,346.405818
-39.921824,70,346.666622
31.805319,54,346.899235
-18.315845,70,347.149966
-38.720241,64,347.52686
-21.724979,77,347.797934
45.566125,43,347.967899
-133.80849,111,348.592483
-6.992114,72,348.835085
53.6575,52,349.021496
-39.824945,71,349.2908
23.52454,47,349.611225
-88.5751,70,349.839858
-17.604765,61,350.042773
4.581576,51,350.223955
-44.999411,103,350.769655
-113.639797,86,351.042735
25.686443,41,351.187401
-153.30247,100,351.708782
44.255586,45,351.870672
-101.158144,83,352.15167
1.918129,61,352.348603
31.313422,58,352.726372
23.942369,53,352.934734
11.489566,53,353.116399
-278.803523,125,353.526877
41.420669,57,353.880132
7.976254,73,354.167813
-69.979027,71,354.421911
-65.175118,57,354.627947
-5.071265,47,354.949448
14.452689,51,355.163213
-92.618149,75,355.424829
-17.996023,59,355.635428
-8.803998,60,355.990005
-28.319625,76,356.256904
-128.079294,112,356.628532
-24.475019,52,356.946231
-38.766106,63,357.181246
33.307168,55,357.375499
10.772638,61,357.584913
-91.413646,76,357.854049
4.607292,46,358.147201
-39.992922,70,358.391868
22.208117,53,358.591781
-42.2937,73,358.835948
-60.747975,85,359.289255
24.204026,53,359.455924
-86.442887,65,359.682722
-6.209389,65,359.914703
21.327486,58,360.255853
-5.922526,51,360.418196
-18.283522,57,360.616381
-27.926705,65,360.859219
-37.625451,61,361.187294
-5.864267,51,361.364607
-60.710773,74,361.601233
3.345517,58,361.801009
32.449199,53,362.128567
-121.164821,92,362.403644
25.279738,44,362.568001
-18.783549,58,362.780565
-55.187338,54,363.101071
61.073628,54,363.27077
67.198415,34,363.402591
-3.112861,71,363.642951
13.004271,50,363.80732
-27.629846,93,364.279355
-125.758994,86,364.556917
-122.714888,85,364.809986
-46.941333,76,365.227519
41.86919,52,365.408716
-34.587303,54,365.575912
-34.652231,53,365.769553
-92.568539,77,366.192306
13.909154,53,366.373359
-9.063374,74,366.597371
10.296656,63,366.792482
-45.448065,79,367.19158
20.679952,60,367.377844
14.713825,45,367.52415
63.59023,43,367.689732
25.360194,41,367.822285
34.036836,46,368.144522
-8.937526,76,368.378028
