setting,num_episodes,noise,train_time,efficacy,sparsity,l1,time,gaussian,plausible,path
01_0.99_256_0.0001_0.2,19530,non,0,100.0,1.06(0.24),0.09(0.05),1.2,0.46(0.05),0.9(0.12),0.84(0.14)
01_0.99_256_0.0001_0.2,19530,pla,0,98.0,1.12(0.33),0.22(0.06),4.53,0.07(0.02),0.09(0.03),0.44(0.2)
