setting,num_episodes,train_time,validity,proximity_cont,proximity_cat,sparsity,manifold,causality,time,air
01_0.99_256_0.0001_0.2,2000,0,86.087,0.0,0.0,1.0,2.646,100.0,11.21,0.18
01_0.99_256_0.0001_0.2,2000,0,86.087,0.0,0.0,1.0,2.646,100.0,11.17,0.18
01_0.99_256_0.0001_0.2,0,5.58,86.087,0.06,0.044,1.0,2.622,100.0,15.02,0.18
01_0.99_256_0.0001_0.2,0,6.48,86.087,0.007,0.037,1.0,2.641,100.0,14.41,0.17
01_0.99_256_0.0001_0.2,0,4.37,97.391,5.491,0.122,1.0,2.614,100.0,1.17,0.22
01_0.99_256_0.0001_0.2,19530,0,100.0,0.101,0.0,1.0,2.728,100.0,6.87,0.1
01_0.99_256_0.0001_0.2,19530,0,100.0,0.079,0.0,1.0,2.712,100.0,0.56,0.14
01_0.99_256_0.0001_0.2,19530,0,100.0,0.079,0.0,1.0,2.712,100.0,0.61,0.14
01_0.99_256_0.0001_0.2,19530,0,100.0,0.079,0.0,1.0,2.712,100.0,0.6,0.14
