# {"t_start": 1702256277.8914988, "env_id": "adult-v01"} 
r,l,t
90.347267,3,7388.648666
90.739446,4,7389.150567
99.975727,1,7389.49834
80.347267,4,7389.927378
52.264964,12,7390.73694
63.358204,13,7391.703327
80.402802,4,7392.128706
21.976195,14,7392.873875
62.059316,10,7393.606562
14.44671,21,7395.149798
99.981206,1,7395.503222
51.284156,9,7396.09064
99.981206,1,7396.4409
89.981206,2,7396.791068
81.222025,6,7397.374019
90.728521,4,7397.875559
90.42503,3,7398.308878
73.783341,13,7399.328951
60.790501,7,7399.837169
91.713294,6,7400.838609
33.65205,17,7401.859842
99.981206,1,7402.220662
70.377732,5,7402.654668
99.981206,1,7403.006672
90.390364,3,7403.440881
100.379849,2,7403.875499
71.614639,8,7404.541995
70.322609,5,7404.971737
100.827541,3,7405.467215
90.825779,4,7405.973607
89.975728,2,7406.326687
70.369369,5,7406.753639
50.392241,7,7407.191501
101.263683,4,7407.760573
99.975728,1,7408.114081
70.397268,5,7408.550286
80.384707,4,7408.979209
99.970249,1,7409.329803
100.391766,2,7409.759617
89.970249,2,7410.107463
81.219587,6,7410.68395
69.970249,4,7411.048736
99.970249,1,7411.395406
90.39806,3,7411.816886
80.39375,4,7412.372705
89.96477,2,7412.731089
100.791971,3,7413.2324
99.96477,1,7413.588458
91.276774,5,7414.155204
89.96477,2,7414.50329
101.246599,4,7415.083089
70.381869,5,7415.514859
90.815785,4,7416.020093
71.560507,8,7416.674238
90.796817,4,7417.19433
99.96477,1,7417.547968
72.443145,10,7418.353369
101.571921,5,7419.359797
41.930262,12,7420.09677
99.96477,1,7420.453091
79.96477,3,7420.810609
70.753863,6,7421.31464
72.298099,10,7422.120177
99.96477,1,7422.473881
79.96477,3,7422.830919
91.999623,7,7423.550722
101.593889,5,7424.201101
81.651385,7,7424.870813
90.378985,3,7425.29871
54.166906,17,7426.496423
90.370917,3,7426.937013
72.132552,9,7428.017196
61.021682,8,7428.606987
71.253197,7,7429.186605
89.95929,2,7429.546898
99.95929,1,7429.899566
89.95929,2,7430.254246
90.813125,4,7430.763164
99.95929,1,7431.112861
53.226669,14,7432.065392
79.95929,3,7432.426797
-14.66885,27,7433.853197
99.95929,1,7434.211127
100.388456,2,7434.650328
50.800374,8,7435.157835
81.608481,7,7435.827103
99.95929,1,7436.183355
90.790365,4,7436.691889
72.024048,9,7437.425701
90.823452,4,7437.929677
100.382648,2,7438.360109
99.95929,1,7438.715549
101.212894,4,7439.291892
101.68154,5,7440.417794
99.95929,1,7440.782241
