# {"t_start": 1702357745.1131442, "env_id": "german-v01"} 
r,l,t
-384.391068,166,361.42196
-408.873674,215,362.65253
-751.40365,272,364.12017
-644.622836,240,365.423448
-438.43382,208,366.599136
-385.397237,174,367.607363
-543.718347,226,368.925092
-519.416832,214,370.001653
-389.259857,176,370.999371
-539.211797,196,372.069249
-663.428256,248,373.378674
-297.446895,160,374.328277
-421.373292,182,375.200977
-284.519338,161,376.149597
-406.70398,189,377.241962
-536.358778,237,378.577602
-351.533437,156,379.372101
-655.734503,233,380.621933
-557.498798,236,381.925684
-583.310482,226,383.212012
-667.815768,238,384.485989
-367.168068,170,385.315837
-764.141814,266,386.703122
-406.977607,178,387.718992
-638.978445,231,388.977029
-434.564017,169,389.917765
-273.488264,145,390.661466
-518.957575,195,391.725818
-382.956758,160,392.621997
-459.10179,200,393.599417
-348.218214,166,394.554829
-305.585442,138,395.35485
-615.408902,228,396.620379
-681.819445,221,397.659467
-326.791787,139,398.499733
-325.579077,143,399.402998
-562.438834,225,400.505515
-584.148373,235,401.940018
-480.020587,202,403.123962
-443.452613,195,404.239203
-208.348577,150,405.073414
-486.993222,186,406.173114
-333.881099,177,407.257031
-563.005121,211,408.501644
-574.502594,209,409.694719
-351.905977,202,410.827166
-600.007586,210,412.078103
-498.220524,212,413.321986
-408.473794,190,414.515581
-302.848664,160,415.401484
-384.623426,166,416.445697
-347.690902,170,417.543982
-611.124623,263,419.132905
-282.513785,149,419.968358
-329.817569,169,421.097887
-460.580826,170,422.208435
-587.154935,205,423.341025
-289.433076,163,424.446427
-237.015967,138,425.416171
-200.822696,141,426.260741
-424.094953,169,427.45148
-220.745581,126,428.213682
-427.290662,196,429.539193
-501.732037,196,430.947425
-241.663698,140,431.807621
-265.775364,160,432.890754
-202.311584,140,433.872776
-293.142084,134,434.637551
-511.751769,225,436.168904
-386.614125,173,437.355577
-226.170429,131,438.150674
-148.368856,132,439.185145
-173.398462,159,440.29388
-637.415411,225,441.780318
-439.571754,186,443.021385
-345.465924,174,444.238472
-501.781174,207,445.494521
-311.83124,132,446.458892
-161.630382,116,447.166807
-381.63155,160,448.311355
-279.372496,147,449.215806
-219.773804,137,450.105677
-360.280797,170,451.115806
-150.149423,112,451.692657
-353.713627,191,452.816811
-539.1473,194,453.896466
-436.033775,183,454.898142
-255.902044,147,456.205364
-264.61013,160,457.337087
-384.531227,164,458.27018
-284.990614,178,459.311828
-436.81516,164,460.235552
-224.755223,143,460.962057
-394.84962,182,462.005713
-433.172817,192,463.095592
-111.037473,102,463.654881
-154.533082,142,464.460748
-181.161271,138,465.33656
-368.052478,172,466.406731
-351.038304,176,467.302123
-279.253802,148,468.208123
-191.604877,154,469.162608
-392.806353,165,469.958742
-209.798429,131,470.762081
-118.340445,119,471.398376
-216.745197,130,472.182503
-89.133494,100,472.703331
-73.202908,103,473.244528
-332.752512,165,474.185388
-97.416724,113,474.923496
-261.886544,149,475.667544
-308.668365,155,476.568742
-196.130168,126,477.203808
-276.499513,142,478.041708
-132.319137,114,478.65771
-237.264243,134,479.468148
-251.221371,139,480.196187
-226.369083,137,481.02967
-88.528723,120,481.71681
-205.90673,144,482.598687
-212.469847,129,483.253056
-235.561066,157,484.201801
-296.823889,161,485.17597
-168.389474,126,485.845846
-495.571434,218,487.067922
-265.603611,155,488.057493
-137.763856,123,488.754122
-165.396091,137,489.618652
-133.888699,115,490.259108
-189.07206,133,491.125094
-50.959562,98,491.681633
-135.82076,119,492.29706
-361.226312,163,493.254868
-91.788617,122,494.037746
-198.408807,134,494.715561
-179.642618,123,495.495733
-142.352679,118,496.113959
-121.93804,110,496.678417
-219.845385,133,497.489568
-184.514641,119,498.122922
-57.70216,87,498.742573
-212.59735,121,499.358134
-111.473243,104,500.058498
-157.06576,119,500.664735
-202.795382,117,501.38551
-178.558829,130,502.05274
-225.135311,125,502.827845
-173.92953,117,503.421736
-163.900847,121,504.051671
-143.914497,111,504.795514
-143.028292,139,505.536899
-74.081879,108,506.270514
-270.476272,145,506.991134
-176.804195,129,507.793653
-170.583961,113,508.400245
-112.328637,117,509.219982
-246.452071,135,509.930718
-237.457731,135,510.768949
-92.843489,107,511.326871
-186.973713,129,512.130799
-116.45723,117,512.744238
-86.086094,112,513.495935
-257.398185,136,514.179277
-156.735756,139,515.087803
-90.248405,102,515.617368
-249.320731,165,516.612288
-70.666839,116,517.241385
-166.56545,144,518.110755
-222.312822,126,518.786209
-94.627554,111,519.518844
-178.675318,129,520.216589
-206.208393,124,520.972325
-98.039184,121,521.639847
-138.434918,104,522.332444
-66.625538,118,522.963129
-77.315385,95,523.477026
-118.74909,119,524.250091
-152.440556,116,524.844832
-163.140113,121,525.628991
-179.146441,138,526.335831
-267.957837,154,527.267028
-93.811842,114,527.899473
-192.744778,125,528.704007
-115.949789,110,529.307969
-136.925411,122,530.083971
-220.918711,119,530.670055
-59.227277,89,531.295888
