# {"t_start": 1702201858.3638394, "env_id": "german-v01"} 
r,l,t
66.920808,26,85.438219
97.952025,20,85.561765
97.856117,18,85.67771
97.646584,20,85.800674
97.590542,20,85.923824
97.467239,20,86.179336
87.157864,22,86.307658
87.365945,21,86.428332
97.977466,18,86.537757
87.637562,20,86.654541
67.638993,22,86.775689
97.383176,21,86.906836
87.614904,21,87.032505
97.998344,20,87.153261
97.477464,20,87.273623
98.097162,18,87.381067
77.245682,23,87.515284
98.180215,19,87.635314
97.823165,18,87.880022
87.6494,20,87.998174
97.841827,19,88.112217
98.100489,17,88.217074
97.596046,21,88.34359
97.196395,21,88.46916
97.878003,18,88.585474
97.437623,22,88.716185
97.1422,21,88.842811
98.108282,17,88.946634
97.2033,24,89.08858
87.157059,23,89.22235
87.253862,22,89.481295
97.622686,19,89.605537
96.49174,23,89.74232
97.305277,21,89.872463
77.665447,21,89.994484
88.182402,19,90.107212
97.85036,18,90.221025
97.865865,18,90.332421
98.346352,19,90.448339
76.728321,25,90.587512
87.685344,20,90.72359
97.734594,19,90.847681
87.644028,20,90.985227
97.928017,18,91.239087
87.645877,20,91.37152
98.570547,18,91.494025
98.058295,20,91.619614
97.751832,20,91.745274
87.908433,21,91.86838
87.867873,19,91.982742
96.766932,22,92.135763
87.168721,24,92.321756
77.443116,22,92.454128
97.634176,20,92.574604
97.758136,19,92.698198
98.121648,19,92.837963
96.522114,23,93.144206
77.972068,22,93.297846
87.959892,19,93.414569
97.842851,18,93.533653
97.328469,21,93.66978
97.174122,21,93.818325
86.971768,24,93.978368
98.794442,17,94.094014
97.303999,21,94.220944
98.588868,17,94.325028
87.732997,23,94.457961
87.308765,21,94.587788
98.034747,18,94.833192
77.490894,22,94.959954
87.647712,20,95.07911
98.35154,18,95.18819
87.746185,20,95.306638
96.378844,24,95.449832
96.946542,22,95.588555
97.560657,20,95.713048
98.11069,17,95.821019
97.646699,20,95.942466
97.709493,19,96.056973
97.900983,18,96.168033
97.846825,18,96.277571
97.828273,18,96.522502
87.866526,22,96.650897
97.834257,18,96.75984
98.146184,19,96.87828
97.6649,21,97.034285
97.825599,19,97.163918
98.088804,19,97.279892
97.450865,20,97.409511
87.777954,22,97.55038
77.126811,23,97.681665
97.630595,19,97.796979
77.341748,23,97.929534
87.853287,19,98.041838
97.937977,18,98.286451
98.186797,17,98.388211
87.262393,22,98.515643
97.875158,18,98.626043
97.513855,20,98.750157
97.345473,21,98.887451
67.58885,23,99.058846
97.041934,21,99.197493
97.866157,18,99.311906
97.933803,18,99.426623
87.90545,19,99.549377
98.20853,17,99.658891
98.218888,17,99.762338
87.562293,20,100.007194
97.776865,20,100.127589
87.206562,22,100.253682
96.984136,22,100.384279
87.625732,20,100.502437
87.437906,22,100.640395
87.277739,22,100.779309
97.819639,22,100.921142
77.669021,23,101.052077
88.075579,19,101.171064
98.378358,17,101.273937
97.316158,21,101.398553
88.204722,18,101.503878
97.282484,21,101.779424
98.032886,19,101.907814
88.316776,18,102.056518
98.125184,19,102.180983
87.702847,20,102.303929
98.108718,17,102.417918
97.068412,21,102.556827
97.938006,18,102.695515
98.170734,17,102.824277
98.062154,18,102.935537
97.860065,18,103.046308
97.617694,19,103.17003
77.71939,21,103.313383
98.525152,18,103.592947
87.683875,20,103.748595
88.351843,17,103.86455
87.657388,20,103.999631
97.159686,21,104.126011
98.137008,17,104.247472
98.123064,17,104.379774
88.457055,19,104.524162
87.74754,20,104.639907
98.351562,19,104.754849
88.588892,18,104.860624
97.12645,22,105.00492
98.134154,17,105.11869
98.401465,16,105.228243
87.350639,22,105.511605
97.887348,18,105.627879
98.145233,17,105.771235
98.447434,18,105.908602
98.137228,17,106.01386
97.991945,18,106.124514
98.793312,17,106.236614
98.413815,16,106.342654
98.182829,17,106.444743
98.377978,17,106.552973
98.102017,17,106.660452
98.48513,18,106.770057
98.401987,16,106.870162
98.237472,17,106.97922
88.070047,20,107.102061
98.359879,17,107.358871
87.930835,19,107.47312
97.938263,18,107.585676
97.56921,20,107.70921
98.402466,16,107.808353
98.32722,18,107.923373
98.114101,18,108.043905
98.000592,18,108.155494
98.35184,17,108.261205
98.402005,16,108.358922
97.370664,21,108.488075
87.925262,19,108.602284
87.617242,21,108.728922
97.69979,19,108.985195
98.537162,18,109.093595
98.183771,17,109.196038
68.106424,20,109.305945
98.158785,19,109.420621
78.360898,18,109.521521
88.014327,19,109.637419
68.119124,21,109.765302
98.401742,16,109.869602
98.19482,17,109.974416
97.23047,21,110.106166
77.965063,20,110.230129
98.383515,16,110.333105
97.682363,19,110.471409
98.425847,19,110.848603
98.158548,17,110.988636
98.403406,20,111.156357
98.194028,18,111.298261
98.001406,19,111.451778
87.985021,19,111.602898
97.589075,19,111.781204
88.400765,18,111.957239
97.769933,20,112.148414
98.056167,18,112.329463
97.700414,19,112.510617
98.154558,17,112.665369
98.140678,17,112.826054
98.148496,18,112.969574
88.413815,17,113.227763
98.021961,19,113.340101
98.107443,17,113.445278
97.899093,18,113.553432
88.627068,19,113.661951
98.04602,19,113.774947
98.398189,18,113.886792
97.895336,19,114.005555
98.215615,17,114.108286
97.761522,19,114.221244
98.498531,18,114.330754
98.79572,17,114.435269
87.546156,21,114.555819
98.431625,17,114.659068
96.983467,22,114.922283
98.123997,17,115.02538
97.845425,18,115.134862
97.743877,19,115.249064
98.794526,17,115.352072
98.237323,17,115.454126
98.46258,20,115.575939
88.280473,18,115.685781
98.519248,17,115.789798
98.151258,17,115.891758
97.938671,18,116.001857
98.121976,17,116.108176
97.700967,19,116.22428
97.965754,18,116.336222
97.313158,20,116.594094
88.165681,18,116.699861
87.725368,20,116.814888
98.641031,19,116.927839
97.667448,19,117.041385
98.383527,16,117.137109
